,imdb_title_id,title,year,genre,country,language,director,description,weighted_average_vote,total_votes,mean_vote,median_vote,males_18age_avg_vote,males_30age_avg_vote,males_45age_avg_vote,females_18age_avg_vote,females_30age_avg_vote,females_45age_avg_vote,keywords,bag_of_words
65877,tt2660888,Star Trek: Beyond,2016,"['action', 'adventure', 'sci-fi']","['usa', 'china', 'unitedarabemirates', 'canada']",English,['justinlin'],"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",7.1,223293.0,7.1,7.0,7.1,6.9,7.1,7.4,7.3,7.5,"['crew', 'everything', 'test', 'new', 'ruthless', 'enemy', 'federation', 'stands', 'puts', 'encounter', 'uss', 'enterprise', 'explores', 'furthest', 'reaches', 'uncharted', 'space']",action adventure sci-fi usa china unitedarabemirates canada justinlin crew everything test new ruthless enemy federation stands puts encounter uss enterprise explores furthest reaches uncharted space 
73905,tt5052474,Soldado,2018,"['action', 'adventure', 'crime']","['usa', 'mexico']","English, Spanish, American Sign Language, Arabic, Somali",['stefanosollima'],"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",7.1,119798.0,7.1,7.0,7.1,7.0,7.1,7.0,6.9,7.2,"['u', 'mercurial', 'alejandro', 'begun', 'trafficking', 'terrorists', 'across', 'fight', 'war', 'teams', 'drug', 'cartels', '.-', 'mexico', 'border', 'us', 'escalated', 'federal', 'agent', 'matt', 'graver']",action adventure crime usa mexico stefanosollima u mercurial alejandro begun trafficking terrorists across fight war teams drug cartels .- mexico border us escalated federal agent matt graver 
31340,tt0129387,Tutti pazzi per Mary,1998,"['comedy', 'romance']",['usa'],English,"['bobbyfarrelly', 'peterfarrelly']","A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",7.1,286414.0,7.1,7.0,6.9,7.2,7.4,6.4,6.5,6.9,"['man', 'gets', 'chance', 'high', 'school', 'dream', 'girl', 'complete', 'disaster', 'back', 'date', 'meet', 'even', 'though']",comedy romance usa bobbyfarrelly peterfarrelly man gets chance high school dream girl complete disaster back date meet even though 
60843,tt1905041,Fast & Furious 6,2013,"['action', 'adventure', 'thriller']","['usa', 'japan', 'spain', 'uk']","English, Spanish, Russian, Japanese, Cantonese, Dutch",['justinlin'],"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",7.1,363237.0,7.3,7.0,7.2,6.9,6.7,7.7,7.3,7.4,"['crew', 'dominic', 'unexpectedly', 'gets', 'sidetracked', 'brian', 'reassemble', 'hobbs', 'mercenaries', 'letty', 'facing', 'team', 'presumed', 'deceased', 'girlfriend', 'take']",action adventure thriller usa japan spain uk justinlin crew dominic unexpectedly gets sidetracked brian reassemble hobbs mercenaries letty facing team presumed deceased girlfriend take 
39780,tt0298203,8 Mile,2002,"['drama', 'music']","['usa', 'germany']",English,['curtishanson'],"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",7.1,244894.0,7.3,7.0,7.5,6.9,6.7,7.2,6.6,7.0,"['odyssey', 'rap', 'harder', 'wants', 'foes', 'make', 'friends', 'young', 'rapper', 'may', 'seem', 'big', 'every', 'aspect', 'life', 'struggling']",drama music usa germany curtishanson odyssey rap harder wants foes make friends young rapper may seem big every aspect life struggling 
46687,tt0472033,9,2009,"['animation', 'action', 'adventure']",['usa'],English,['shaneacker'],A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,7.1,131029.0,7.2,7.0,7.1,7.0,7.1,7.3,7.2,7.2,"['humanity', 'rag', 'doll', 'key', 'awakens', 'salvation', 'postapocalyptic', 'future', 'holds']",animation action adventure usa shaneacker humanity rag doll key awakens salvation postapocalyptic future holds 
39777,tt0298130,The Ring,2002,"['horror', 'mystery']",['usa'],English,['goreverbinski'],A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,7.1,315069.0,7.2,7.0,7.0,7.1,7.1,7.0,7.0,7.1,"['day', 'seems', 'death', 'mysterious', 'videotape', 'anyone', 'one', 'week', 'cause', 'view', 'journalist', 'must', 'investigate']",horror mystery usa goreverbinski day seems death mysterious videotape anyone one week cause view journalist must investigate 
57940,tt1615147,Margin Call,2011,"['drama', 'thriller']",['usa'],English,['j.c.chandor'],"Follows the key people at an investment bank, over a 24-hour period, during the early stages of the 2008 financial crisis.",7.1,114272.0,7.2,7.0,7.2,7.1,7.2,6.9,6.9,7.2,"['follows', 'key', 'people', 'investment', 'bank', '24', '2008', 'financial', 'crisis', 'early', 'stages', 'hour', 'period']",drama thriller usa j.c.chandor follows key people investment bank 24 2008 financial crisis early stages hour period 
39841,tt0299658,Chicago,2002,"['comedy', 'crime', 'musical']","['usa', 'germany', 'canada', 'uk']","English, Hungarian",['robmarshall'],"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",7.1,212421.0,7.3,7.0,7.4,6.9,6.9,7.7,7.4,7.4,"['attention', 'fierce', 'rivalry', 'sleazy', 'lawyer', 'competing', 'two', 'death', 'row', 'murderesses', 'develop', 'celebrity', 'publicity']",comedy crime musical usa germany canada uk robmarshall attention fierce rivalry sleazy lawyer competing two death row murderesses develop celebrity publicity 
52411,tt1124035,Le idi di marzo,2011,"['drama', 'thriller']",['usa'],English,['georgeclooney'],An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,7.1,212573.0,7.1,7.0,7.2,7.1,7.0,7.1,7.0,7.2,"['new', 'presidential', 'candidate', 'gets', 'crash', 'course', 'dirty', 'politics', 'idealistic', 'staffer', 'stint', 'campaign', 'trail']",drama thriller usa georgeclooney new presidential candidate gets crash course dirty politics idealistic staffer stint campaign trail 
47014,tt0479143,Rocky Balboa,2006,"['action', 'drama', 'sport']",['usa'],"English, Spanish",['sylvesterstallone'],"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",7.1,200694.0,7.4,7.0,7.2,7.1,7.0,7.2,6.8,7.0,"['dons', 'final', 'fight', 'retirement', 'thirty', 'years', 'first', 'bell', 'dixon', 'line', 'ring', 'rocky', 'balboa', 'comes', 'reigning', 'heavyweight', 'champ', 'mason', 'gloves']",action drama sport usa sylvesterstallone dons final fight retirement thirty years first bell dixon line ring rocky balboa comes reigning heavyweight champ mason gloves 
46775,tt0473705,State of Play,2009,"['crime', 'drama', 'mystery']","['usa', 'uk', 'france']","English, Cantonese",['kevinmacdonald'],"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.",7.1,132604.0,7.2,7.0,7.2,7.1,7.1,7.2,7.1,7.2,"['washington', 'congressional', 'aide', 'killed', 'representative', 'case', 'involving', 'journalist', 'starts', 'investigating', 'old', 'college', 'friend', 'c']",crime drama mystery usa uk france kevinmacdonald washington congressional aide killed representative case involving journalist starts investigating old college friend c 
81710,tt8772262,Midsommar - Il villaggio dei dannati,2019,"['drama', 'horror', 'mystery']","['usa', 'sweden']","English, Swedish",['ariaster'],A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,7.1,176389.0,6.9,7.0,7.3,7.0,6.7,7.2,6.9,6.4,"['summer', 'festival', 'couple', 'travels', 'increasingly', 'violent', 'fabled', 'mid', 'begins', 'hands', 'pagan', 'cult', 'idyllic', 'retreat', 'quickly', 'devolves', 'visit', 'bizarre', 'competition', 'sweden', 'rural', 'hometown']",drama horror mystery usa sweden ariaster summer festival couple travels increasingly violent fabled mid begins hands pagan cult idyllic retreat quickly devolves visit bizarre competition sweden rural hometown 
46513,tt0468492,The Host,2006,"['action', 'drama', 'horror']",['southkorea'],"Korean, English",['bongjoonho'],A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,7.1,102806.0,7.1,7.0,7.2,7.0,6.9,7.1,7.0,7.2,"['one', 'victim', 'begins', 'attacking', 'people', 'seoul', 'clutches', 'loving', 'family', 'monster', 'emerges', 'han', 'river', 'rescue']",action drama horror southkorea bongjoonho one victim begins attacking people seoul clutches loving family monster emerges han river rescue 
53056,tt1172570,Bronson,2008,"['action', 'biography', 'crime']","['uk', 'caymanislands', 'denmark', 'usa']","English, Spanish",['nicolaswindingrefn'],"A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",7.1,117576.0,7.2,7.0,7.2,7.0,6.8,7.4,7.2,7.1,"['post', 'office', 'ends', 'charles', 'bronson', 'ego', 'alter', 'solitary', 'confinement', 'time', 'young', 'man', 'personality', 'prison', 'spending', 'three', 'decades', 'supplanted', 'seven', 'years', 'sentenced', 'robbing']",action biography crime uk caymanislands denmark usa nicolaswindingrefn post office ends charles bronson ego alter solitary confinement time young man personality prison spending three decades supplanted seven years sentenced robbing 
39973,tt0302886,Old School,2003,['comedy'],['usa'],English,['toddphillips'],Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,7.1,211665.0,7.3,7.0,7.1,7.2,6.8,6.5,6.7,6.6,"['alma', 'mater', 'recapture', 'three', 'friends', 'attempt', 'glory', 'days', 'fraternity', 'near', 'opening']",comedy usa toddphillips alma mater recapture three friends attempt glory days fraternity near opening 
57765,tt1600196,Chi Ã¨ senza colpa,2014,"['crime', 'drama', 'thriller']",['usa'],"English, Russian",['michaã«lr.roskam'],"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.",7.1,139767.0,7.1,7.0,7.1,7.0,7.1,7.1,7.0,7.4,"['work', 'together', 'robbery', 'gone', 'awry', 'investigation', 'living', 'friends', 'matter', 'make', 'entwined', 'families', 'digs', 'deep', 'neighborhood', 'bob', 'saginowski', 'finds', 'foes', 'cost', 'past', 'center']",crime drama thriller usa michaã«lr.roskam work together robbery gone awry investigation living friends matter make entwined families digs deep neighborhood bob saginowski finds foes cost past center 
48059,tt0780521,La principessa e il ranocchio,2009,"['animation', 'adventure', 'comedy']",['usa'],"English, French","['ronclements', 'johnmusker']","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",7.1,120611.0,7.3,7.0,7.0,7.0,6.8,7.5,7.3,7.3,"['waitress', 'fulfill', 'dreams', 'problem', 'journey', 'turn', 'desperate', 'set', 'human', 'face', 'frog', 'prince', 'back', 'kisses', 'restaurant', 'owner']",animation adventure comedy usa ronclements johnmusker waitress fulfill dreams problem journey turn desperate set human face frog prince back kisses restaurant owner 
59035,tt1714206,The Spectacular Now,2013,"['comedy', 'drama', 'romance']",['usa'],English,['jamesponsoldt'],"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",7.1,142070.0,7.1,7.0,7.3,7.1,6.9,6.9,6.7,6.7,"['philosophy', 'partying', 'high', 'school', 'senior', 'nice', 'girl', '.""', 'typical', 'life', 'changes', 'hard', 'meets']","comedy drama romance usa jamesponsoldt philosophy partying high school senior nice girl ."" typical life changes hard meets "
48496,tt0810819,The Danish Girl,2015,"['biography', 'drama', 'romance']","['uk', 'usa', 'germany', 'denmark', 'belgium', 'japan']","English, French, German",['tomhooper'],A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,7.1,159718.0,7.2,7.0,6.9,6.8,6.9,7.6,7.4,7.5,"['transgender', 'pioneer', 'gerda', 'work', 'evolve', 'danish', 'artists', 'lili', 'elbe', 'marriage', 'groundbreaking', 'journey', 'navigate', 'fictitious', 'love', 'story', 'loosely', 'inspired', 'wegener', 'lives']",biography drama romance uk usa germany denmark belgium japan tomhooper transgender pioneer gerda work evolve danish artists lili elbe marriage groundbreaking journey navigate fictitious love story loosely inspired wegener lives 
