,title,bag_of_words
34974,Monsters & Co.,animation adventure comedy usa petedocter davidsilverman order scare children scream monsters 2 realize things may toxic child gets power however city think 
25256,La bella e la bestia,animation family fantasy usa garytrousdale kirkwise days earning hideous monster sets spend regain prince cursed humanity love young woman 
45706,Blood Diamond - Diamanti di sangue,adventure drama thriller usa germany uk edwardzwick possession businessmen match wits smuggler priceless diamond fisherman syndicate 
3720,Il mistero del falco,film-noir mystery usa johnhuston three eccentric criminals priceless statuette involves private detective takes case quest gorgeous liar 
21289,Terminator,action sci-fi uk usa jamescameron sent young woman whose unborn son future salvation human soldier key programmed almost indestructible cyborg killing machine year stop 1984 execute 2029 humanity 
60679,X-Men - Giorni di un futuro passato,action adventure sci-fi usa uk canada bryansinger results mutants past x men send wolverine doom event change history desperate effort humans prevent 
49982,Il cigno nero,"drama thriller usa darrenaronofsky sanity winning committed dancer struggles maintain production tchaikovsky lead role swan lake "". "
3236,Il mago di Oz,adventure family fantasy usa victorfleming georgecukor farm magical land see wizard well quest oz help swept away friends kansas tornado dorothy gale embarks new return home 
28467,Ghost in the Shell,animation action crime japan uk mamoruoshii cyborg policewoman partner hunt mysterious powerful hacker called puppet master 
28784,L'esercito delle 12 scimmie,mystery sci-fi thriller usa terrygilliam made virus convict man sent back wiped time planet gather information future world devastated disease human population 
45926,La ricerca della felicitÃ ,biography drama usa gabrielemuccino struggling salesman takes custody poised changing professional career life begin son 
60503,Blade Runner 2049,action drama mystery usa uk hungary canada spain denisvilleneuve former blade runner rick deckard missing discovery long young k thirty years buried secret leads track 
12126,Tutti insieme appassionatamente,biography drama family usa robertwise naval officer widower woman leaves austrian convent children governess become 
23238,Akira,animation action sci-fi japan katsuhiroãtomo stopped two teenagers biker gang member psychics tokyo turns rampaging psychic psychopath group secret military project endangers neo 
12757,Il laureato,comedy drama romance usa mikenichols older lover torn daughter disillusioned college graduate finds 
38574,Dogville,crime drama denmark netherlands sweden germany uk france finland norway italy larsvontrier mob small colorado community town exchange woman support finds price search visits labor reluctantly accepted run 
13570,Butch Cassidy,biography crime drama usa georgeroyhill bolivia outlaws find sundance kid solution leaders run escape heels butch cassidy wyoming band posse hard train robbery goes wrong early 1900s 
59216,Bohemian Rhapsody,biography drama music uk usa bryansinger story legendary british rock band 
45358,The Bourne Ultimatum - Il ritorno dello sciacallo,action mystery thriller usa germany france spain paulgreengrass origins ruthless c trained killer agents official life jason bourne dodges searching new assassination program 
53689,Ip Man,action biography drama hongkong china wilsonyip leave occupied remaining members ip man forced wealthy martial artist japanese invasion little means providing city must find survive way china home 
11682,Per un pugno di dollari,action drama western italy spain westgermany sergioleone greed revenge pride wandering gunfighter plays two rival families town torn apart 
69579,Sopravvissuto - The Martian,adventure drama sci-fi uk usa hungary jordan ridleyscott find team assume earth dead mars signal alive astronaut becomes stranded ingenuity way must rely 
25493,JFK - Un caso ancora aperto,drama history thriller france usa oliverstone new orleans district attorney 
24691,Balla coi lupi,adventure drama western usa uk kevincostner indians military making befriends wolves assigned intolerable aberration lieutenant john dunbar remote western civil war outpost 
65371,Wonder,drama family usa hongkong canada stephenchbosky attending first time boy fifth grade based facial differences new york times bestseller enters incredibly inspiring mainstream elementary school movie tells heartwarming story august pullman 
17469,Io e Annie,comedy romance usa woodyallen neurotic new york comedian alvy singer falls love ditzy annie hall 
5729,Nodo alla gola,crime drama mystery usa alfredhitchcock two men attempt former classmate committed death strangling prove perfect crime dinner party hosting 
56266,The Help,drama usa tatetaylor go daily basis point aspiring author work book detailing view write civil rights movement hardships 1960s decides white families african american maids 
40877,La maledizione della prima luna,action adventure fantasy usa goreverbinski former pirate allies daughter eccentric undead jack sparrow turner teams save captain love governor blacksmith 
16710,Lo squalo,adventure thriller usa stevenspielberg old seafarer killer shark unleashes chaos local sheriff beast marine biologist hunt beach community 
43017,Prima del tramonto,drama romance usa france richardlinklater celine first met nine years french leg jesse book tour encounter 
33305,Mulholland Drive,drama mystery thriller france usa davidlynch car wreck twisting venture beyond dreams woman amnesiac clues hopeful search perky hollywood reality winding mulholland drive renders answers across los angeles 
42987,Casino Royale,action adventure thriller uk czechrepublic usa germany bahamas martincampbell 007 licence bond must defeat private banker funding terrorists stakes game poker kill first mission montenegro high casino royale earning 00 status secret agent james sets 
43099,Ratatouille,animation adventure comedy usa bradbird janpinkava young kitchen worker unusual alliance rat famous restaurant cook makes 
41757,Cinderella Man - Una ragione per lottare,biography drama history usa ronhoward james j supposedly washed braddock story inspiration came back 1930s boxer champion become 
25869,Aladdin,animation adventure comedy usa ronclements johnmusker deepest wishes come true hungry grand vizier vie kindhearted street urchin make power magic lamp 
16606,Quel pomeriggio di un giorno da cani,biography crime drama usa sidneylumet pay hostage situation operation man robs lover turns bank media circus 
33440,Dancer in the Dark,crime drama musical denmark germany netherlands italy usa uk france sweden finland iceland argentina norway taiwan belgium larsvontrier east european girl travels young son hollywood film expecting like united states 
40594,Gli Incredibili - Una 'normale' famiglia di supereroi,animation action adventure usa bradbird undercover superheroes quiet suburban life action forced trying family save world live 
63550,The Raid 2 - Berandal,action crime thriller indonesia usa garethevans bring plans rama goes undercover jakarta thugs short time corruption within police force first raid uncover syndicate 
80058,Storia di un matrimonio,comedy drama romance uk usa noahbaumbach incisive family staying together compassionate look marriage breaking noah baumbach 
26353,Scent of a Woman - Profumo di donna,drama usa martinbrest babysit prep school student needing money agrees blind man job anticipated 
62141,The Imitation Game,biography drama thriller uk usa mortentyldum english mathematical genius world war ii 
50611,The Millionaire,"drama romance uk usa india dannyboyle loveleentandan indian version mumbai teenager reflects "". cheating millionaire wants life accused "
7481,Vacanze romane,comedy romance usa williamwyler bored rome sheltered princess escapes love american newsman falls guardians 
40654,Big Fish - Le storie di una vita incredibile,adventure drama fantasy usa timburton fiction determine fact life dying father frustrated son tries 
42846,Kill Bill - Volume 2,action crime thriller usa quentintarantino one reclusive bouncer budd vengeance former boss bride continues quest treacherous lover bill eyed elle 
23714,Rain Man - L'uomo della pioggia,drama usa barrylevinson selfish yuppie charlie babbitt father left pittance fortune travel cross country savant brother raymond 
70097,La La Land,comedy drama music usa hongkong damienchazelle careers actress fall aspirations navigating attempting love reconcile future los angeles pianist 
15670,L'esorcista,horror usa williamfriedkin mother seeks 12 year two priests help save old girl mysterious entity possessed 
49084,The Avengers,action adventure sci-fi usa josswhedon team fight earth learn mischievous loki going alien army stop enslaving humanity mightiest heroes must come together 
56027,Deadpool,action adventure comedy usa timmiller becomes immortal man wisecracking mercenary gets experimented sets looks track ruined ugly 
61641,Guardiani della Galassia,action adventure comedy usa jamesgunn plans purge intergalactic criminals must pull together stop fanatical warrior universe group 
56727,Il discorso del re,biography drama history uk usa australia tomhooper story 
16495,Frankenstein Junior,comedy usa melbrooks infamous scientist process american grandson discovers insane people believe grandfather prove invited reanimates dead body struggling transylvania 
41328,Infernal Affairs,action crime drama hongkong andrewlau alanmak objectives find story undercover cop mole police department 
33807,Magnolia,drama usa paulthomasanderson interrelated characters meaning san fernando valley search love forgiveness epic mosaic 
26779,Ricomincio da capo,comedy fantasy romance usa haroldramis day inexplicably living weatherman finds 
31320,Il gigante di ferro,animation action adventure usa bradbird giant robot paranoid government agent wants young boy befriends destroy outer space 
69958,Lion - La strada verso casa,biography drama uk australia usa garthdavis old indian boy find australian couple lost family sets year getting hundreds five kilometers adopted home 25 years later 
48168,Dallas Buyers Club,biography drama usa jean-marcvallã©e need diagnosed hustler ron woodroof works around medication help aids patients get system electrician 1985 dallas disease 
15849,Papillon,biography crime drama france usa franklinj.schaffner sentence begin serving man befriends fellow criminal inspires dreadful prison island plot two escape 
42267,L'alba dei morti dementi,comedy horror uk france usa edgarwright uneventful life zombie apocalypse disrupted man 
46193,The Fall,adventure drama fantasy usa southafrica india tarsemsingh reality blurs fiction tale advances little girl line fantastic story 1920s los angeles vivid imagination fractured state outskirts injured stuntman begins tell hospital broken arm mind fellow patient five mythical heroes thanks 
18021,Zombi,action adventure horror usa italy georgea.romero risen w dead traffic reporter growing epidemic ever two philadelphia television executive girlfriend seek refuge zombies team members secluded shopping mall following 
37673,The Bourne Identity,action mystery thriller usa germany czechrepublic france dougliman riddled fishing boat man memory suffering racing elude assassins attempting regain bullet amnesia picked 
45918,Vita di Pi,adventure drama fantasy usa taiwan uk canada anglee unexpected connection survives adventure fearsome bengal tiger discovery disaster young man forms epic journey another survivor sea hurtled cast away 
63114,Before Midnight,drama romance usa greece richardlinklater greece almost two decades passed since meet jesse vienna celine nine years train bound first meeting 
13324,La notte dei morti viventi,horror thriller usa georgea.romero pennsylvanians barricade ragtag group remain safe ravaging united states bloodthirsty monsters eating breed flesh east coast old farmhouse 
52620,District 9,action sci-fi thriller southafrica usa newzealand canada neillblomkamp kindred spirit biotechnology like conditions government agent exposed earth finds slum extraterrestrial race forced violence ensues live 
52669,Lasciami entrare,crime drama fantasy sweden tomasalfredson bullied boy revenge finds love peculiar girl oskar overlooked eli beautiful 
66525,Lo sciacallo - Nightcrawler,crime drama thriller usa dangilroy con man desperate observer crime journalism line work story blurs muscles participant louis bloom world star l become 
52438,The Wrestler,drama sport usa france darrenaronofsky faded professional wrestler must retire dispiriting struggle new life outside finds ring quest 
40926,Mystic River,crime drama mystery usa australia clinteastwood lives one three men childhood friends shattered family tragedy 
53208,Moon,drama mystery sci-fi uk usa duncanjones sends back end astronaut sam bell year stint gerty working alongside helped diminish resource computer planet moon power problems quintessentially personal encounter toward three earth parcels 
58104,Edge of Tomorrow - Senza domani,action adventure sci-fi usa canada dougliman soldier fighting aliens gets dies day relive restarting every time 
74076,L'isola dei cani,animation adventure comedy germany japan usa uk wesanderson isle boy japan dogs follows odyssey search lost dog set 
18924,The Blues Brothers - I fratelli Blues,adventure comedy crime usa johnlandis puts together jake blues raised catholic home released save brother elwood prison old band 
35437,I figli degli uomini,adventure drama sci-fi usa uk japan alfonsocuarã³n former activist agrees become somehow infertile women miraculously pregnant woman sanctuary help transport sea 2027 chaotic world 
39856,Hero,action adventure history china hongkong yimouzhang king qin regarding summoned nameless success terminating three warriors defense officer 
20397,Una storia di Natale,comedy family usa canada bobclark red ryder bb gun really convince perfect christmas gift 1940s santa teacher young boy named ralphie attempts parents 
30464,Toy Story 2 - Woody & Buzz alla riscossa,animation adventure comedy usa johnlasseter ashbrannon roundup gang jessie woody stolen buzz museum toy property collector becomes save rescue mission prospector friends set bullseye 
73786,Dunkirk,action drama history uk netherlands france usa christophernolan fierce battle belgium world war ii surrounded german army evacuated british empire allied soldiers france 
58371,The Artist,comedy drama romance france belgium usa michelhazanavicius backdrop egomaniacal film star develops young dancer relationship hollywood silent era 
54738,The Irishman,biography crime drama usa martinscorsese time painting houses old man recalls friend 
39209,Parla con lei,drama mystery romance spain pedroalmodã³var deep comas odd friendship care two women men share 
10221,Spartacus,adventure biography drama usa stanleykubrick violent revolt decadent roman republic slave spartacus leads 
75779,Chiamami col tuo nome,drama romance italy france usa brazil lucaguadagnino father romance blossoms research assistant 1980s italy year old student older man hired seventeen 
42535,Iron Man,action adventure sci-fi usa canada jonfavreau afghan cave billionaire engineer tony stark creates armor held captive unique weaponized suit fight evil 
65573,Jojo Rabbit,comedy drama war usa newzealand czechrepublic taikawaititi hiding mother hitler young boy jewish girl army finds home 
21406,Breakfast Club,comedy drama usa johnhughes common saturday detention lot five high school students meet discover thought 
21405,Brazil,drama sci-fi uk usa terrygilliam bureaucrat pursues state woman dreams enemy dystopic society becomes 
21293,This Is Spinal Tap,comedy music usa robreiner chronicled one loudest bands spinal tap fateful tour england film director marty dibergi proves 
6785,L'altro uomo,crime film-noir thriller usa alfredhitchcock get away psychopath forces tennis star theory murder two strangers comply 
18648,Manhattan,comedy drama romance usa woodyallen mistress complicated divorced television writer dating life love best friend teenage girl falls 
29810,Boogie Nights - L'altra Hollywood,drama usa paulthomasanderson adventures california pornography industry story late 1970s young man early 1980s 
81186,The Gentlemen,action comedy crime uk usa guyritchie sell attempt american expat tries steal triggering plots bribery domain highly profitable marijuana empire blackmail london schemes 
34167,Quasi famosi,adventure comedy drama usa cameroncrowe chance school boy concert tour given story write rolling stone magazine accompanies high coming rock band 
65164,Star Wars - Il risveglio della Forza,action adventure sci-fi usa j.j.abrams must join han solo ex galaxy rises restoring peace chewbacca one hope desert scavenger new threat stormtrooper search finn rey 
65368,Arrival,drama mystery sci-fi usa canada denisvilleneuve linguist works twelve mysterious spacecraft appear around alien lifeforms world military communicate 
45065,Fantastic Mr. Fox,animation adventure comedy usa uk wesanderson retaliation farm raiding ways urbane fox cannot resist returning farmers community survive must help 
72864,Selvaggi in fuga,adventure comedy drama newzealand taikawaititi national manhunt go missing rebellious kid foster uncle ordered wild new zealand bush 
40026,Harry Potter e il prigioniero di Azkaban,adventure family fantasy uk usa alfonsocuarã³n harry potter wizardry third year study delve escaped prisoner ron poses hermione return witchcraft young wizard mystery surrounding hogwarts school dangerous threat 
51534,Boyhood,drama usa richardlinklater early childhood mason life college arrival 
68995,Thor: Ragnarok,action adventure comedy usa taikawaititi imprisoned return destruction asgard ruthless villain hela time planet sakaar world powerful stop ragnarã ¶ k thor must race hands 
81914,Cena con delitto - Knives Out,comedy crime drama usa rianjohnson eccentric detective investigates combative family patriarch death 
48062,In Bruges - La coscienza dell'assassino,comedy crime drama uk usa martinmcdonagh ruthless boss job gone wrong world ray wants belgium last place guilt hitman bruges partner await orders stricken 
48263,Star Trek,action adventure sci-fi usa germany j.j.abrams father spock keeping vengeful romulan future creates black holes legacy destroy time mr kirk tries check brash james live federation one planet 
24743,Edward mani di forbice,drama fantasy romance usa timburton suburban lady meets introduces scissors one day leads incompletely constructed world artificial man solitary life hands 
26621,Carlito's Way,crime drama thriller usa briandepalma n drugs c violence despite stay away lead released pledges puerto rican former convict prison better life outside pressure around 
69215,Captain Fantastic,comedy drama usa mattross leave paradise father devoted six kids raising parent pacific northwest forced means forests intellectual education world rigorous physical enter idea challenging 
23168,The Untouchables - Gli intoccabili,crime drama thriller usa briandepalma era federal agent prohibition united states 
47735,Lettere da Iwo Jima,action adventure drama usa japan clinteastwood perspective battle imperial japan world war ii story japanese told fought iwo jima united states 
27181,Una vita al massimo,crime drama romance usa france tonyscott lonely pop culture geek marries sell cocaine call girl mob detroit reclaim tries hollywood track steals pimp owners attempt meanwhile 
47814,The Man from Earth,drama fantasy sci-fi usa richardschenkman mysterious interrogation professor john oldman becomes retiring scholar reveals stranger past imagine impromptu goodbye party colleagues longer 
69982,Rogue One: A Star Wars Story,action adventure sci-fi usa garethedwards steal plans risky move daughter imperial scientist joins rebel alliance death star 
63004,Questione di tempo,comedy drama fantasy uk richardcurtis travel easy decision getting time might think 21 make happens age change life world happened better place tim discovers girlfriend turns 
68141,Piccole donne,drama romance usa gretagerwig forth beloved story march sisters jo reflects back four young women live life telling terms determined 
71714,Kubo e la spada magica,animation action adventure usa japan travisknight order defeat past young boy named kubo must locate vengeful spirit armour worn magical suit late father 
23943,Ritorno al futuro - Parte II,adventure comedy sci-fi usa robertzemeckis first trip 1955 1985 ... without interfering visiting 2015 visit prevent disastrous changes marty mcfly must repeat 
63392,Big Hero 6,animation action adventure usa donhall chriswilliams team special bond develops tech heroes prodigy hiro hamada friends form high band group plus sized inflatable robot baymax 
32171,The Boondock Saints - Giustizia finale,action crime thriller usa canada troyduffy wipe criminal underworld boston two irish catholic brothers become vigilantes name god 
41972,Quando l'amore brucia l'anima,biography drama music usa germany jamesmangold country music legend chronicle 
18090,Halloween - La notte delle streghe,horror thriller usa johncarpenter mental hospital returns haddonfield murdering michael myers escapes fifteen years kill illinois small town sister halloween night 1963 
57424,Millennium - Uomini che odiano le donne,crime drama mystery usa sweden norway davidfincher journalist mikael blomkvist missing woman search forty years young computer hacker lisbeth salander aided 
57648,I Saw the Devil,action crime drama southkorea jee-woonkim secret agent exacts revenge serial killer captures releases series 
57738,La grande scommessa,biography comedy drama usa adammckay market 2007 flawed corrupt discover 2006 investors bet research us mortgage group 
52556,Uomini che odiano le donne,crime drama mystery sweden denmark germany norway nielsardenoplev dead woman search forty years killer young female hacker journalist aided 
41141,Le pagine della nostra vita,drama romance usa nickcassavetes freedom giving rich young woman poor yet passionate man falls social differences love soon separated sense 
22095,Una pazza giornata di vacanza,comedy usa johnhughes high school wise guy day despite determined principal thinks 
32990,Cast Away,adventure drama romance usa robertzemeckis deserted island fedex executive undergoes crash landing physical emotional transformation 
24263,Kiki - Consegne a domicilio,animation adventure drama japan hayaomiyazaki running supports finds fitting independent life air courier service young witch new community difficult mandatory year 
46688,Apocalypto,action adventure drama usa mexico uk melgibson taken perilous journey decline oppression young man world ruled fear mayan kingdom faces 
57116,Captain Phillips - Attacco in mare aperto,adventure biography crime usa paulgreengrass true story captain 
27211,Buon compleanno Mr. Grape,drama usa lassehallstrã¶m disabled younger brother care pursue small midwestern town struggles attempting young man mentally happiness morbidly obese mother 
44605,Il curioso caso di Benjamin Button,drama fantasy romance usa davidfincher tells man story starts aging backwards benjamin button consequences 
29986,Gattaca - La porta dell'universo,drama sci-fi thriller usa andrewniccol order superior one genetically inferior man assumes pursue identity lifelong dream space travel 
29985,The Game - Nessuna regola,action drama mystery usa davidfincher mysterious game distinguish given becomes unable turned upside wealthy banker life participate reality opportunity 
44234,Orgoglio e pregiudizio,drama romance france uk usa joewright prejudice woman beneath spirited elizabeth bennet meets single rich mr overcome sparks fly darcy reluctantly finds love pride class proud falling 
21529,I Goonies,adventure comedy family usa richarddonner ancient map find adventure legendary pirate lost treasure young misfits called long set group goonies discover 
73295,Il diritto di contare,biography drama history usa theodoremelfi vital role team u space program story nasa american mathematicians female african early years served 
47909,American Gangster,biography crime drama usa uk ridleyscott harlem drug lord frank lucas charged outcast new york city cop bringing whose real life inspired partly biographical film 
27171,Tombstone,action biography drama usa georgep.cosmatos kevinjarre outlaws successful lawman plans famous tombstone arizona kind retire anonymously disrupted eliminating 
45655,Little Miss Sunshine,comedy drama usa jonathandayton valeriefaris young daughter finals country trip get beauty pageant take family determined cross vw bus 
20994,Ghostbusters (Acchiappafantasmi),action comedy fantasy usa ivanreitman shop unique ghost removal service three former parapsychology professors set 
44757,Hot Fuzz,action comedy mystery uk france edgarwright small town skilled london police officer dark secret transferred 
47788,Avatar,action adventure fantasy usa jamescameron paraplegic marine dispatched protecting moon pandora orders unique mission becomes torn feels world home following 
70916,Manchester by the Sea,drama usa kennethlonergan take care depressed uncle boy father dies asked teenage nephew 
30454,Titanic,drama romance usa mexico australia canada jamescameron old aristocrat falls luxurious titanic year ill love fated r kind seventeen poor artist aboard 
31978,Insider - Dietro la veritÃ ,biography drama thriller usa michaelmann appear personal research chemist comes big tobacco 60 minutes exposã © decides professional attack 
42926,Serenity,action adventure sci-fi usa josswhedon members ship serenity try crew telepathic assassin sent evade recapture one 
55708,Straight Outta Compton,biography drama history usa f.garygray rap group 
26614,Bronx,crime drama romance usa robertdeniro 1960s bronx local gangster befriends father becomes worried son 
18612,Kramer contro Kramer,drama usa robertbenton divorced couple ted separation kramer rediscovered wounds left billy wife leaves lost bond deepening heated custody battle ensues son allowing 
23012,Predator,action adventure sci-fi usa mexico johnmctiernan team hunted central american jungle find extraterrestrial warrior mission commandos 
48054,Drive,crime drama usa nicolaswindingrefn mysterious hollywood stuntman helps finds getaway driver action drama neighbor trouble mechanic moonlights 
19960,E.T. - L'extra-terrestre,family sci-fi usa stevenspielberg troubled child summons return help friendly alien escape earth courage home world 
53019,The Hobbit: The Desolation of Smaug,adventure fantasy newzealand usa peterjackson homeland grey bilbo baggins along magical ring gandalf dwarves continue smaug reclaim erebor possession mysterious quest 
26754,Il fuggitivo,action crime drama usa andrewdavis richard kimble seasoned u murdering marshal real killer unjustly accused wife nationwide manhunt led dr target must find 
31129,Shrek,animation adventure comedy usa andrewadamson vickyjenson order swamp must go land back princess get rescue mean lord exiles fairytale creatures grumpy ogre quest 
48101,Espiazione,drama mystery romance uk france usa joewright accuses crime year thirteen course several lives lover commit older sister old fledgling writer briony tallis irrevocably changes 
22723,La casa 2,action comedy fantasy usa samraimi demons continue strangers possessing spirits holes onslaught lone survivor flesh cabin attack group 
12645,Gangster Story,action biography crime usa arthurpenn bored waitress 
24608,Risvegli,biography drama usa pennymarshall new drug offers encephalitis epidemic many years ago catatonic ever since victims reviving prospect 
35634,Il sapore della vittoria - Uniti si vince,biography drama sport usa boazyakin true story high school team newly appointed african american coach racially integrated unit first season 
49899,Io vi troverÃ²,action thriller france usa pierremorel estranged daughter trip relies old skills retired cia agent travels across europe kidnapped save paris 
60968,La migliore offerta,crime drama mystery italy giuseppetornatore art worth examining reclusive heiress finds lonely expert working mysterious 
61374,Toy Story 4,animation adventure comedy usa joshcooley new toy called joins woody friends reveals gang forky world big road trip alongside old 
24940,Misery non deve morire,drama thriller usa robreiner beginning receiving abuse car crash rescued comes care captivity novels fan realize nightmare famous author 
49631,Lo Hobbit - Un viaggio inaspettato,adventure fantasy newzealand usa peterjackson bilbo baggins reluctant hobbit reclaim mountain home sets spirited group lonely dragon smaug dwarves gold within 
14961,Willy Wonka e la fabbrica di cioccolato,family fantasy musical usa eastgermany westgermany belgium uk melstuart mysterious chocolate factory tour send five coveted golden tickets poor hopeful boy seeks one willy wonka 
59443,Moonrise Kingdom - Una fuga d'amore,comedy drama romance usa wesanderson new england town find local search party fan young lovers flee pair causes 
68973,Captain America: Civil War,action adventure sci-fi usa anthonyrusso joerusso affairs causes political involvement iron man avengers rift captain america 
11630,Mary Poppins,comedy family fantasy usa robertstevenson father adventure century london turn magical nanny employs music help two neglected children become closer 
25295,Boyz n the Hood - Strade violente,crime drama usa johnsingleton lives three young males living race relationships crenshaw ghetto future prospects dissecting questions follows los angeles violence 
50112,The Fighter,biography drama sport usa davido.russell story based 
68810,The Hateful Eight,crime drama mystery usa quentintarantino prisoner find shelter dead cabin currently inhabited wyoming winter collection bounty hunter nefarious characters 
49722,Il bambino con il pigiama a righe,drama war uk usa markherman old son jewish boy side bruno forbidden friendship eight camp fence unexpected consequences year startling german concentration innocent eyes commandant 
34633,La tigre e il dragone,action adventure fantasy taiwan hongkong usa china anglee frontier famed swordsman sword nation mysterious man young chinese warrior steals world romantic adventure escapes 
37010,Montecristo,"action adventure drama uk usa ireland switzerland kevinreynolds uses revenge hidden treasure friend "", escapes young man exact falsely imprisoned jealous "
58259,Dragon Trainer 2,animation action adventure usa deandeblois ice cave toothless discover battle peace hiccup new wild dragons protect two friends find center mysterious dragon rider home hundreds 
27455,Ed Wood,biography comedy drama usa timburton troubled movie director ambitious 
47287,Mr. Nobody,drama fantasy romance belgium germany canada france uk luxembourg usa jacovandormael station platform go leave father stay choose train mother decision long possible infinite possibilities arise anything boy stands 
49676,Once,drama music romance ireland johncarney love story eventful week modern busker dublin rehearse tell write record songs day musical immigrant 
29925,Donnie Brasco,biography crime drama usa mikenewell mafia life mob identifying expense regular one finds fbi undercover agent infiltrates 
37629,Era mio padre,crime drama thriller usa sammendes father take revenge forcing murder path mob enforcer son witnesses redemption road 
43664,Rapunzel: L'intreccio della torre,animation adventure comedy usa nathangreno byronhoward first time magically long stumbled upon entire life discover runaway thief world tower really haired rapunzel spent 
59660,Ralph Spaccatutto,animation adventure comedy usa richmoore lives fulfill quest brings havoc whole arcade sets hero dream video game villain wants 
65558,Quel fantastico peggior anno della mia vita,comedy drama usa alfonsogomez-rejon worker earl spends diagnosed cancer classmate co high schooler greg befriending finds outlook forever altered classic movies time making parodies 
65567,Colpa delle stelle,drama romance usa joshboone reclusive author two teenage cancer patients begin amsterdam visit life affirming journey 
60363,Captain America: The Winter Soldier,action adventure sci-fi usa anthonyrusso joerusso h assassin known battle l agent new threat embrace fellow avenger e steve rogers struggles teams black widow winter soldier modern world role history 
18881,L'aereo piÃ¹ pazzo del mondo,comedy usa jimabrahams davidzucker plane lands safely pilots become sick man afraid fly must ensure 
43028,Quel treno per Yuma,action crime drama usa jamesmangold small go battle train outlaw tries time rancher agrees captured yuma awaiting court wills ensues psych hold 
45473,Zodiac,crime drama mystery usa davidfincher late 1960s terrorizes northern california unidentified individual san francisco cartoonist becomes early 1970s killing spree amateur detective obsessed tracking zodiac killer 
43380,I segreti di Brokeback Mountain,drama romance usa canada anglee lives story secretive relationship two cowboys forbidden years 
73904,Scappa - Get Out,horror mystery thriller usa japan jordanpeele boiling point young african eventually reaches american visits white girlfriend reception simmering uneasiness weekend parents 
31287,Rushmore,comedy drama romance usa wesanderson rushmore preparatory school extracurricular king academic probation put 
27019,Philadelphia,drama usa jonathandemme fired wrongful dismissal suit man willing advocate condition law firm hires homophobic small time lawyer hiv 
54361,X-Men - L'inizio,action adventure sci-fi usa uk matthewvaughn vengeful pursuit 1960s schism divide find others like ambitious mutant superpowered humans charles xavier erik ruined lensherr work together life causes 
20230,Star Trek II - L'ira di Khan,action adventure sci-fi usa nicholasmeyer assistance using generating genesis device enterprise crew life old nemesis admiral kirk must stop khan noonien singh ultimate weapon 
30259,Qualcosa Ã¨ cambiato,comedy drama romance usa jamesl.brooks unlikely friendship robbery gay artist form waitress misanthropic author single mother assaulted 
36778,Ocean's Eleven - Fate il vostro gioco,crime thriller usa stevensoderbergh rob three las vegas casinos simultaneously ten accomplices plan danny ocean 
49807,Harry Potter e i Doni della Morte - Parte 1,"adventure family fantasy uk usa davidyates horcruxes daniel radcliffe ), ron emma watson race existence rupert grint three deathly hallows wizarding world time harry hermione destroy uncover powerful objects evil "
29967,Il quinto elemento,action adventure sci-fi france uk usa lucbesson zorg central figure bay mr search cab driver unwittingly becomes legendary cosmic weapon keep evil colorful future 
37223,Billy Elliot,drama music uk france stephendaldry disintegration unexpected love talented young boy becomes torn family dance 
44769,Slevin - Patto criminale,crime drama mystery germany uk usa canada paulmcguigan finds rival crime bosses war plotted middle city two boss rabbi slevin relentless detective brikowski well get case mistaken identity lands hatch infamous assassin goodkat constant surveillance ingenious plot 
60115,Nebraska,adventure comedy drama usa alexanderpayne nebraska order addled father makes montana booze trip dollar mega sweepstakes marketing prize million aging estranged son claim 
24936,Crocevia della morte,crime drama thriller usa joelcoen ethancoen tom reagan warring mobs prohibition peace gets caught tries keep advisor era crime boss divided loyalties 
29465,Schegge di paura,crime drama mystery usa gregoryhoblit murdering truth buried several layers deep altar boy priest accused 
51231,Il lato positivo - Silver Linings Playbook,comedy drama romance usa davido.russell mental institution former teacher pat solitano moves back ex meets tiffany mysterious girl tries reconcile wife things get problems stint challenging parents 
30562,Essere John Malkovich,comedy drama fantasy usa spikejonze portal leads literally movie star head puppeteer discovers 
73467,Mission: Impossible - Fallout,action adventure thriller usa china france norway uk christophermcquarrie familiar allies race mission gone wrong ethan hunt time along imf team 
65469,Birdman o (L'imprevedibile virtÃ¹ dell'ignoranza),comedy drama usa alejandrog.iã±ã¡rritu fading career washed superhero actor attempts directing revive writing starring broadway production 
19988,Rambo,action adventure usa tedkotcheff escalating one wage veteran green beret forced pursuers flee mountains deputies cruel sheriff man war 
25253,Barton Fink - Ã successo a Hollywood,comedy drama thriller usa uk joelcoen ethancoen california renowned new york playwright discovers hellish truth enticed write movies hollywood 
54511,The Social Network,biography drama usa davidfincher harvard student 
48731,Changeling,biography crime drama usa clinteastwood missing child stricken mother christine collins p grief detriment tries takes obvious impostor pass l angelina jolie 
26169,L'ultimo dei Mohicani,action adventure drama usa michaelmann midst three trappers protect indian war french british colonel daughters 
40867,L'ultimo samurai,action drama war usa newzealand japan edwardzwick captured battle american military advisor embraces hired samurai culture destroy 
68641,Vita da vampiro - What We Do in the Shadows,comedy horror newzealand jemaineclement taikawaititi finding like paying rent overcoming flatmate conflicts vampires deacon keeping trying get vladislav chore wheel viago nightclubs modern life struggling mundane 
40506,21 grammi,crime drama thriller usa alejandrog.iã±ã¡rritu ex con critically ill mathematician freak accident brings together grieving mother born 
