,title,bag_of_words
28801,I soliti sospetti,crime mystery thriller usa germany bryansinger seemingly random police lineup boat sole survivor tells began twisty events leading five criminals met horrific gun battle 
850,Luci della cittÃ ,comedy drama romance usa charleschaplin medically able eyed tramp fallen dewy help love wealthy erratic tippler aid sightless flower girl accumulates money 
30213,Principessa Mononoke,animation adventure fantasy japan hayaomiyazaki tatara find forest gods also meets san mining colony cure ashitaka finds tatarigami middle mononoke hime journey curse war quest 
9119,Testimone d'accusa,crime drama mystery usa billywilder surprise murder trial veteran british barrister must defend client 
42210,Oldboy,action drama mystery southkorea chan-wookpark captor imprisoned find oh dae five days fifteen years kidnapped released su must 
35548,Memento,mystery thriller usa christophernolan man term memory loss attempts wife track short murderer 
6422,Viale del tramonto,drama film-noir usa billywilder faded film star determined dangerous relationship triumphant return make screenwriter develops 
74689,Your Name.,animation drama fantasy japan makotoshinkai two strangers find linked bizarre way keep distance apart connection forms thing 
19713,I predatori dell'arca perduta,action adventure usa stevenspielberg u find government adventurer indiana jones 1936 ark archaeologist hired covenant 
11150,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,comedy uk usa stanleykubrick nuclear holocaust path stop generals frantically tries politicians war room full insane general triggers 
19255,Shining,drama horror uk usa stanleykubrick father past family heads winter psychic son sees horrific forebodings future isolated hotel sinister presence influences violence 
55264,Il cavaliere oscuro - Il ritorno,action adventure uk usa christophernolan save gotham city enigmatic catwoman anarchy batman forced brutal guerrilla terrorist bane help exile eight years reign joker 
50334,Stelle sulla Terra,drama family india aamirkhan amolegupte lazy trouble patience old boy eight struggles year discover maker school thought compassion real problem behind new art teacher 
18400,Apocalypse Now,drama mystery war usa francisfordcoppola u tasked vietnam army officer serving sees renegade special forces colonel assassinating god 
18386,Alien,horror sci-fi uk usa ridleyscott one mysterious life form unknown transmission crew soon realize merely begun distress call attacked space merchant vessel receives cycle 
64500,Coco,animation adventure family usa leeunkrich adrianmolina legendary singer aspiring musician miguel ancestral ban find land confronted dead enters family great grandfather music 
43925,Le vite degli altri,drama mystery thriller germany france florianhenckelvondonnersmarck lives conducting surveillance agent secret police becoming increasingly absorbed 1984 east berlin finds writer lover 
73973,Dangal,action biography drama india niteshtiwari former wrestler 
49707,WALLÂ·E,animation adventure family usa andrewstanton small waste ultimately decide mankind space journey fate collecting robot inadvertently embarks distant future 
8988,Orizzonti di gloria,drama war usa stanleykubrick refusing soldiers commanding officer must defend general accuses enemy position cowardice attack 
